Day,Period,Course,Teacher
Monday,1,[Free],
Monday,2,[Free],
Monday,3,[Free],
Monday,4,[Free],
Monday,5,EAL,CYF
Monday,6,[Free],
Tuesday,1,[Free],
Tuesday,2,[Free],
Tuesday,3,[Free],
Tuesday,4,[Free],
Tuesday,5,[Free],
Tuesday,6,[Free],
Wednesday,1,[Free],
Wednesday,2,[Free],
Wednesday,3,[Free],
Wednesday,4,[Free],
Wednesday,5,[Free],
Wednesday,6,[Free],
Wednesday,7,EAL,CYF
Wednesday,8,[Free],
Thursday,1,EAL,CYF
Thursday,2,[Free],
Thursday,3,[Free],
Thursday,4,[Free],
Thursday,5,[Free],
Thursday,6,[Free],
Friday,1,[Free],
Friday,2,[Free],
Friday,3,[Free],
Friday,4,[Free],
Friday,5,[Free],
Friday,6,[Free],
Friday,7,[Free],
