Day,Period,Course,Teacher
Monday,1,[Free],
Monday,2,[Free],
Monday,3,[Free],
Monday,4,[Free],
Monday,5,English,Ezio
Monday,6,[Free],
Tuesday,1,[Free],
Tuesday,2,[Free],
Tuesday,3,English,Ezio
Tuesday,4,[Free],
Tuesday,5,[Free],
Tuesday,6,[Free],
Wednesday,1,[Free],
Wednesday,2,[Free],
Wednesday,3,[Free],
Wednesday,4,[Free],
Wednesday,5,[Free],
Wednesday,6,[Free],
Wednesday,7,English,Ezio
Wednesday,8,English,Ezio
Thursday,1,[Free],
Thursday,2,[Free],
Thursday,3,[Free],
Thursday,4,[Free],
Thursday,5,[Free],
Thursday,6,English,Ezio
Friday,1,[Free],
Friday,2,English,Ezio
Friday,3,[Free],
Friday,4,[Free],
Friday,5,[Free],
Friday,6,[Free],
Friday,7,[Free],
